"season","team","conference","games","time_of_poss_total","pass_comps","pass_atts","net_pass_yds","pass_TDs","interceptions","rush_atts","rush_yds","rush_TDs","total_yds","fumbles_lost","turnovers","first_downs","third_downs","third_down_convs","fourth_down_convs","fourth_downs","penalties","penalty_yds","kick_returns","kick_return_yds","kick_return_TDs","punt_returns","punt_return_yds","punt_return_TDs","passes_intercepted","passes_intercepted_yds","passes_intercepted_TDs"
2019,"Arkansas State","Sun Belt",13,21572,298,469,4065,37,11,456,1654,13,5719,11,22,287,193,78,13,23,99,878,50,954,1,24,228,0,12,205,2
2019,"Indiana","Big Ten",13,26311,321,473,3931,24,9,467,1695,24,5626,6,15,304,178,83,8,18,88,830,37,688,0,17,68,0,7,159,2
2019,"UAB","Conference USA",14,26475,192,338,2812,20,20,558,2111,16,4923,8,28,252,182,57,8,20,101,989,28,534,1,13,44,0,7,87,1
2019,"Penn State","Big Ten",13,21761,217,369,2877,25,9,516,2479,34,5356,5,14,275,172,73,11,18,57,589,31,549,0,33,178,0,10,147,2
2019,"Utah State","Mountain West",13,19415,315,504,3628,22,18,461,1979,18,5607,8,26,289,197,84,3,9,74,615,35,749,2,12,138,1,11,161,1
2019,"Massachusetts","FBS Independents",12,18772,218,392,2022,15,16,429,1495,14,3517,4,20,190,192,66,11,29,82,717,75,1550,0,13,113,1,10,118,1
2019,"SMU","American Athletic",13,22509,313,503,4018,35,11,534,2317,35,6335,5,16,322,212,94,22,30,83,743,46,1113,2,23,186,0,9,91,1
2020,"Louisiana","Sun Belt",11,18981,179,308,2290,20,7,429,2345,25,4635,6,13,231,138,59,11,26,68,674,35,810,2,23,171,1,16,175,1
2020,"Syracuse","ACC",11,16182,173,336,1906,15,12,318,1007,5,2913,9,21,145,153,40,6,17,77,725,31,725,1,14,185,0,13,265,2
2020,"UTSA","Conference USA",12,21272,222,370,2399,16,8,496,2585,24,4984,4,12,262,179,78,10,19,84,803,29,508,0,21,66,0,11,147,1
2020,"Purdue","Big Ten",6,9961,176,261,1854,15,4,150,488,4,2342,3,7,136,80,30,6,11,42,360,20,401,0,3,16,0,3,21,0
2020,"Iowa State","Big 12",12,23784,249,372,2896,20,9,454,2343,31,5239,5,14,273,161,73,11,16,62,512,21,561,0,11,59,0,9,14,0
2020,"Middle Tennessee","Conference USA",9,15837,205,311,2074,13,10,323,1202,11,3276,6,16,180,128,54,6,12,51,470,24,395,0,7,18,0,8,138,0
2020,"South Florida","American Athletic",9,15367,187,312,1949,12,6,337,1339,11,3288,11,17,189,124,38,7,24,48,440,34,710,0,9,71,1,10,220,2
2020,"Georgia","SEC",10,18022,178,306,2496,19,11,377,1742,18,4238,4,15,209,135,62,6,13,54,513,20,594,0,17,136,0,9,185,2
2020,"Texas State","Sun Belt",12,18532,247,404,2864,26,14,372,1577,15,4441,4,18,247,151,50,10,26,62,592,48,992,1,17,209,1,7,156,1
2020,"South Alabama","Sun Belt",11,20073,218,350,2718,18,6,419,1238,7,3956,9,15,218,167,67,16,34,42,384,22,369,0,8,40,0,7,134,1
2020,"Arkansas State","Sun Belt",11,18901,276,464,4008,39,9,384,1377,7,5385,7,16,269,173,69,15,30,70,631,36,711,0,6,11,0,6,115,1
2020,"UNLV","Mountain West",6,10538,115,196,1115,6,4,223,841,7,1956,5,9,112,92,34,10,15,39,324,21,409,0,5,39,0,2,23,0
2020,"Ohio State","Big Ten",8,15442,158,225,2100,22,6,344,2050,19,4150,3,9,200,106,52,5,9,49,437,7,93,0,10,62,0,7,105,2
2020,"UL Monroe","Sun Belt",10,16347,223,383,2290,14,12,249,761,8,3051,6,18,166,133,34,17,32,48,437,42,758,0,6,30,0,4,111,0
2020,"Northwestern","Big Ten",9,16906,173,283,1790,12,8,391,1476,16,3266,6,14,183,148,59,18,26,45,364,10,235,0,10,66,0,14,17,0
2020,"Michigan","Big Ten",6,9185,123,213,1502,9,4,172,787,12,2289,2,6,116,75,27,4,9,35,345,22,514,1,7,47,0,1,18,0
2020,"San José State","Mountain West",8,14141,183,288,2387,19,9,236,1060,8,3447,0,9,164,101,38,5,13,54,455,19,591,2,14,127,0,3,0,0
2020,"Louisiana Tech","Conference USA",10,18162,221,359,2166,21,14,342,992,10,3158,2,16,198,154,60,16,18,50,456,43,854,0,9,177,0,9,207,1
2020,"Florida Atlantic","Conference USA",9,15579,122,232,1300,8,6,360,1608,12,2908,5,11,160,132,49,12,24,42,350,16,332,0,10,89,0,6,30,0
2020,"Navy","American Athletic",10,18192,57,124,974,6,4,483,1776,15,2750,7,11,143,140,47,20,30,44,402,12,277,0,10,26,0,3,25,0
2020,"Ohio","Mid-American",3,5260,36,54,446,4,0,117,650,8,1096,2,2,52,32,12,0,1,21,148,11,367,2,5,25,0,5,55,0
2020,"Akron","Mid-American",6,10800,83,148,838,4,6,211,842,7,1680,3,9,95,77,26,4,9,23,185,25,496,0,3,-8,1,2,44,0
2020,"Kansas","Big 12",9,16617,155,283,1389,7,10,354,944,9,2333,4,14,143,142,33,10,24,51,418,47,1043,2,4,-5,0,4,23,0
2020,"Kansas State","Big 12",10,17249,137,247,1857,12,10,353,1522,17,3379,5,15,155,127,42,6,10,65,564,34,593,0,14,299,2,7,65,2
2020,"Colorado","Pac-12",6,11362,98,178,1209,6,7,276,1274,15,2483,4,11,120,96,41,3,7,34,338,14,274,0,11,158,1,4,23,0
2020,"Kent State","Mid-American",4,6994,90,126,1294,14,2,199,1132,13,2426,2,4,129,57,32,7,8,37,325,11,207,0,3,10,0,3,2,0
2020,"San Diego State","Mountain West",8,16630,116,203,1200,6,5,360,1590,14,2790,6,11,152,120,43,8,18,38,339,16,430,1,23,245,1,7,156,2
2020,"Miami (OH)","Mid-American",3,5171,47,85,715,8,1,100,381,2,1096,1,2,56,42,17,2,3,18,182,3,50,0,5,50,0,2,80,1
2020,"TCU","Big 12",10,18050,163,272,1933,10,5,410,2151,23,4084,9,14,192,143,52,8,14,76,628,20,395,0,25,326,2,8,84,1
2020,"Illinois","Big Ten",8,12983,91,194,1223,10,4,325,1559,9,2782,5,9,144,114,43,7,15,39,401,24,400,0,4,32,0,7,61,0
2020,"Clemson","ACC",12,21885,326,490,4182,31,6,410,1848,33,6030,9,15,295,179,83,10,15,64,568,19,434,0,13,123,0,14,121,0
2020,"Missouri","SEC",10,18411,246,363,2668,9,6,350,1362,21,4030,8,14,222,141,61,10,18,58,500,10,163,0,10,56,0,2,67,1
2020,"Penn State","Big Ten",9,18169,184,306,2298,17,9,402,1569,15,3867,8,17,223,133,56,11,22,39,335,18,290,0,8,197,1,4,18,0
2020,"Temple","American Athletic",7,13512,146,240,1456,11,11,283,978,5,2434,3,14,146,115,44,8,14,36,311,13,228,0,5,46,0,3,45,0
